分类,单词,中文,例句
形容词,nervous,紧张的,I feel nervous before exams.
形容词,confident,自信的,He is confident in his abilities.
形容词,shy,害羞的,The shy girl didn't speak much.
形容词,outgoing,外向的,He is very outgoing and sociable.
形容词,quiet,安静的,Please be quiet in the library.
形容词,loud,大声的,The music was too loud.
形容词,hard,努力的,She is a hard worker.
形容词,easy,容易的,The puzzle was easy to solve.
形容词,difficult,困难的,Learning a new language can be difficult.
形容词,expensive,昂贵的,The designer handbag is expensive.
形容词,cheap,便宜的,The restaurant offers cheap meals.
形容词,old,老的,The old man had a long white beard.
形容词,young,年轻的,The young girl played in the park.
副词,always,总是,She is always on time.
副词,usually,通常,We usually have dinner at 7 pm.
副词,sometimes,有时候,Sometimes it's good to take a break.
副词,never,从不,I never forget my keys.
副词,now,现在,We are busy right now.
副词,later,稍后,Can we talk later?
副词,soon,很快,The bus will arrive soon.
副词,today,今天,I finished my homework today.
副词,yesterday,昨天,I met her yesterday at the mall.
副词,tomorrow,明天,We'll visit the museum tomorrow.
副词,here,这里,Your book is here on the desk.
副词,there,那里,Let's go there for lunch.
副词,nowhere,无处,He is nowhere to be found.
副词,everywhere,到处,There are flowers everywhere.
副词,anywhere,任何地方,You can sit anywhere you like.
副词,somewhere,某处,The keys must be somewhere in the house.
副词,every,每个,She visits her grandparents every week.
副词,once,一次,We went to the beach once this summer.
副词,twice,两次,I have seen that movie twice.
副词,thrice,三次,He called thrice but got no answer.
副词,often,经常,I often go jogging in the morning.
副词,seldom,很少,She seldom goes out at night.
副词,hardly,几乎不,He hardly ever eats fast food.
副词,mostly,大多数,The class is mostly about science.
副词,well,好,You did well on the test.
副词,better,更好,I hope you feel better soon.
副词,best,最好,This is the best cake I've ever had.
副词,fast,快速地,She ran fast to catch the bus.
副词,slowly,慢慢地,He walked slowly in the park.
副词,too,太,It's too hot to go outside.
副词,enough,足够,We have enough time to finish the project.
连词, and, 和, I like coffee and tea.
连词, but, 但是,"She is tired, but happy."
连词, or, 或者, You can have cake or ice cream.
连词, so, 所以,"It's raining, so we should stay indoors."
连词, because, 因为, I am staying home because I am not feeling well.
连词, if, 如果,"If it rains, we will stay inside."
连词, when, 当, I'll call you when I arrive.
连词, while, 在...的时候, I can read a book while waiting for the bus.
连词, although, 虽然,"Although it's hot, I enjoy summer."
连词, since, 从...以来, I have known her since kindergarten.
连词, until, 直到, You have to wait until the light turns green.
连词, unless, 除非, You can go outside unless it's raining.
连词, after, 在...之后, We will eat dinner after the movie.
连词, before, 在...之前, Finish your homework before going to bed.
连词, while, 同时, I can sing while doing my homework.
连词, as, 因为, He is happy as he got a gift.
连词, for, 因为, She is famous for her paintings.
连词, nor, 也不, I neither like nor dislike mushrooms.
连词, yet, 然而,"It's late, yet he hasn't arrived."
连词, so that, 以便, I study hard so that I can pass the exam.
连词, as soon as, 一...就, Call me as soon as you arrive.
连词, even though, 即使,"Even though it's cold, I won't wear a coat."
连词, while, 虽然,"While I appreciate the offer, I must decline."
连词, both...and, 既...又, She is both smart and kind.
连词, either...or, 要么...要么, You can either choose tea or coffee.
连词, neither...nor, 既不...也不, Neither the cat nor the dog is in the house.
连词, not only...but also, 不仅...而且, He is not only tall but also strong.
连词, whether, 是否, I don't know whether he will come or not.
连词, as if, 好像, She acts as if nothing happened.
连词, so...that, 如此...以至于, It's so hot that I can't go outside.
常见助词,of,的,The color of the sky is blue.
常见助词,in,在,She is in the classroom.
常见助词,to,到,I want to go to the park.
常见助词,for,为了,This gift is for you.
常见助词,with,和,He is playing with his friends.
常见助词,on,在...上,The cat is sitting on the roof.
常见助词,at,在...处,We'll meet at the bus stop.
常见助词,by,通过,She goes to school by bus.
常见助词,about,关于,Tell me something about yourself.
常见助词,through,通过,We walked through the forest.
常见助词,from,从,I got a letter from my friend.
常见助词,up,向上,The balloon is going up.
常见助词,down,向下,She is walking down the stairs.
常见助词,into,进入,He went into the room quietly.
常见助词,out,出去,Please go out of the room.
常见助词,off,离开,The dog jumped off the bed.
常见助词,over,在...上方,The bird is flying over the tree.
常见助词,under,在...下方,The cat is under the table.
常见助词,throughout,遍及,It rained throughout the night.
常见助词,around,在周围,There are trees around the house.
常见助词,along,沿着,We walked along the river.
常见助词,across,穿过,We swam across the river.
常见助词,within,在...之内,The keys are within the drawer.
常见助词,without,没有,I can't live without you.
常见助词,until,直到,Wait here until I come back.
常见助词,before,在...之前,Finish your homework before dinner.
常见助词,after,在...之后,We'll go out after the rain stops.
常见助词,during,在...期间,They chatted during the break.
常见助词,while,当...时候,Read a book while waiting for the bus.
常见助词,between,在...之间,The library is between the school and the park.
感叹词,oh,哦,"Oh, I see what you mean."
感叹词,wow,哇,"Wow, that's an amazing performance!"
感叹词,yes,是的,"Yes, I would like some more tea."
感叹词,no,不,"No, I don't agree with that."
感叹词,please,拜托,"Please, help me with this heavy box."
感叹词,thank you,谢谢,Thank you for your kindness.
感叹词,sorry,对不起,I'm sorry for the mistake I made.
感叹词,excuse me,打扰一下,"Excuse me, do you have the time?"
感叹词,hello,你好,"Hello, how are you today?"
感叹词,goodbye,再见,"Goodbye, see you tomorrow."
感叹词,hi,嗨,"Hi, nice to meet you!"
感叹词,hey,喂,"Hey, where have you been?"
感叹词,ouch,哎哟,"Ouch, that hurt!"
感叹词,alas,哎呀,"Alas, I missed the bus."
感叹词,bravo,好极了,"Bravo, you did an excellent job!"
感叹词,oh dear,哦，天哪,"Oh dear, I forgot my keys."
感叹词,Oh my God,哦，天啊,"Oh my God, that's a beautiful sunset."
感叹词,yeah,是的,"Yeah, I agree with you."
感叹词,nice,不错,"Nice, job well done!"
感叹词,fantastic,太棒了,"Fantastic, I love your idea."
感叹词,awesome,真棒,"Awesome, you won the game!"
感叹词,amazing,令人惊讶的,"Amazing, what a talented artist!"
感叹词,oh no,哦，不,"Oh no, I forgot to bring my homework."
感叹词,oh well,哎，算了,"Oh well, we'll try again next time."
感叹词,hurray,万岁,"Hurray, we won the championship!"
感叹词,phew,呼,"Phew, that was a close call!"
感叹词,uh-huh,嗯，是的,"Uh-huh, I understand what you're saying."
感叹词,uh-oh,哎呀,"Uh-oh, I think I made a mistake."
感叹词,yikes,哎呀,"Yikes, I didn't see that coming!"
人 (People),person,人,He is a kind person.
人 (People),woman,女人,She is a beautiful woman.
人 (People),man,男人,He is a strong man.
人 (People),child,孩子,The child is playing in the park.
人 (People),baby,婴儿,The baby is sleeping.
人 (People),girl,女孩,The little girl is dancing.
人 (People),boy,男孩,The boy is running.
人 (People),mankind,人类,We must protect mankind.
人 (People),family,家庭,My family went on a trip together.
人 (People),friend,朋友,He is my best friend.
人 (People),stranger,陌生人,Be careful with strangers.
人 (People),neighbor,邻居,Our neighbors are very friendly.
人 (People),citizen,公民,Every citizen has rights and responsibilities.
人 (People),employee,雇员,He is a hardworking employee.
人 (People),employee,工作人员,The employees are busy with their tasks.
人 (People),boss,老板,The boss is in a meeting.
人 (People),manager,经理,The manager is organizing the project.
人 (People),doctor,医生,The doctor is treating the patient.
人 (People),patient,病人,The patient needs proper care.
人 (People),nurse,护士,The nurse is taking care of the elderly.
人 (People),teacher,老师,She is a dedicated teacher.
人 (People),student,学生,The student is studying for exams.
人 (People),professor,教授,The professor is giving a lecture.
人 (People),scientist,科学家,The scientist made a groundbreaking discovery.
人 (People),artist,艺术家,The artist painted a beautiful masterpiece.
人 (People),musician,音乐家,The musician played a wonderful melody.
人 (People),athlete,运动员,The athlete won the championship.
人 (People),celebrity,名人,The celebrity walked on the red carpet.
人 (People),villager,村民,The villagers are coming back from the fields.
动物 (Animals),dog,狗,My dog loves to chase after squirrels in the park.
动物 (Animals),cat,猫,She has a beautiful white cat as a pet.
动物 (Animals),rabbit,兔子,The rabbit hopped around the garden happily.
动物 (Animals),bird,鸟,Listen to the beautiful songs of the birds in the morning.
动物 (Animals),fish,鱼,We have a colorful fish tank in the living room.
动物 (Animals),horse,马,She rides her horse every weekend for exercise.
动物 (Animals),elephant,大象,The elephant sprayed water on itself with its trunk.
动物 (Animals),tiger,老虎,The tiger's roar echoed through the jungle.
动物 (Animals),lion,狮子,The lion lazily basked in the sun.
动物 (Animals),monkey,猴子,The monkey swung from tree to tree in the forest.
动物 (Animals),snake,蛇,Be careful not to step on a snake while hiking.
动物 (Animals),bear,熊,The bear stood on its hind legs
动物 (Animals),deer,鹿,We spotted a beautiful deer in the forest.
动物 (Animals),fox,狐狸,The cunning fox outsmarted the hunters.
动物 (Animals),wolf,狼,The howl of the wolf sent shivers down my spine.
动物 (Animals),penguin,企鹅,The penguin waddled awkwardly on the ice.
动物 (Animals),dolphin,海豚,We went on a boat tour to see the playful dolphins.
动物 (Animals),seal,海豹,The seal basked on the rocks near the shore.
动物 (Animals),shark,鲨鱼,We saw a shark swimming near the reef.
动物 (Animals),octopus,章鱼,The octopus changed colors to blend into its surroundings.
动物 (Animals),crab,螃蟹,We enjoyed a delicious crab feast by the beach.
动物 (Animals),turtle,海龟,The turtle crawled slowly towards the ocean.
动物 (Animals),frog,青蛙,The frog croaked loudly in the pond at night.
动物 (Animals),camel,骆驼,The camel was loaded with supplies for the desert journey.
动物 (Animals),kangaroo,袋鼠,The kangaroo hopped gracefully across the field.
动物 (Animals),koala,考拉,The koala slept peacefully in the eucalyptus tree.
动物 (Animals),panda,熊猫,The panda lazily chewed on bamboo shoots.
动物 (Animals),hippo,河马,The hippo submerged itself in the cool water.
动物 (Animals),giraffe,长颈鹿,The giraffe elegantly walked across the savannah.
食物 (Food),apple,苹果,She ate an apple for breakfast.
食物 (Food),banana,香蕉,She likes to eat a banana as a snack.
食物 (Food),cake,蛋糕,They celebrated with a slice of cake.
食物 (Food),bread,面包,She made a sandwich with two slices of bread.
食物 (Food),rice,米饭,We had stir-fried vegetables with rice for dinner.
食物 (Food),noodle,面条,He ordered a bowl of hot noodle soup.
食物 (Food),egg,鸡蛋,She scrambled an egg for breakfast.
食物 (Food),tomato,番茄,He sliced a tomato to put in the salad.
食物 (Food),cheese,奶酪,She sprinkled grated cheese on top of the pasta.
食物 (Food),salad,沙拉,She tossed the salad with dressing.
食物 (Food),milk,牛奶,He poured a glass of milk for his daughter.
食物 (Food),chicken,鸡肉,They grilled some chicken for the barbecue.
食物 (Food),fish,鱼,She baked the fish with lemon and herbs.
食物 (Food),beef,牛肉,He cooked a beef stew for dinner.
食物 (Food),pork,猪肉,She roasted a pork loin for the family gathering.
食物 (Food),carrot,胡萝卜,She chopped the carrot into small pieces for the soup.
食物 (Food),potato,土豆,He mashed the potatoes with butter and cream.
食物 (Food),onion,洋葱,She sautéed the onion in olive oil.
食物 (Food),pepper,胡椒,He ground some fresh pepper onto the salad.
食物 (Food),sausage,香肠,She grilled some sausages for the barbecue.
食物 (Food),sandwich,三明治,He made a grilled cheese sandwich for lunch.
食物 (Food),soup,汤,She simmered a pot of chicken soup on the stove.
食物 (Food),pizza,比萨,They ordered a pepperoni pizza for dinner.
食物 (Food),pasta,意面,She cooked spaghetti with marinara sauce.
食物 (Food),cookie,饼干,He packed some chocolate chip cookies for a snack.
食物 (Food),orange,橙子,She peeled an orange to eat as dessert.
食物 (Food),melon,甜瓜,They chilled some melon slices in the fridge.
食物 (Food),grape,葡萄,She snacked on a bunch of grapes in the afternoon.
食物 (Food),juice,果汁,He squeezed fresh orange juice for breakfast.
颜色 (Colors),Red,红色,My favorite color is red.
颜色 (Colors),Blue,蓝色,The sky is blue today.
颜色 (Colors),Green,绿色,The grass is always greener on the other side.
颜色 (Colors),Yellow,黄色,She looks great in yellow.
颜色 (Colors),Purple,紫色,The royal robe was a deep shade of purple.
颜色 (Colors),Orange,橙色,She wore a bright orange dress to the party.
颜色 (Colors),Pink,粉色,Her room is painted in a lovely shade of pink.
颜色 (Colors),Brown,棕色,The old barn is painted brown.
颜色 (Colors),Black,黑色,Halloween is associated with black cats and bats.
颜色 (Colors),White,白色,The snow turned everything outside white.
颜色 (Colors),Gray,灰色,His hair began to gray with age.
颜色 (Colors),Silver,银色,The moonlight reflected off the silver lake.
颜色 (Colors),Gold,金色,He won a gold medal in the race.
颜色 (Colors),Cream,奶油色,She likes her coffee with cream.
颜色 (Colors),Beige,米色,The walls of the room were painted beige.
颜色 (Colors),Maroon,栗色,The sofa was a rich maroon color.
颜色 (Colors),Turquoise,青绿色,She wore a necklace with a turquoise pendant.
颜色 (Colors),Lavender,淡紫色,Her room smelled of lavender.
颜色 (Colors),Teal,青绿色,The wedding decorations were in shades of teal.
颜色 (Colors),Magenta,品红色,The flowers were a vibrant shade of magenta.
颜色 (Colors),Cyan,青色,The artist mixed blue and green to get a shade of cyan.
颜色 (Colors),Indigo,靛青色,The sky at dusk turns a deep shade of indigo.
颜色 (Colors),Olive,橄榄色,The olives in the salad were a dark olive green.
颜色 (Colors),Aqua,水蓝色,She loved to swim in the aqua waters of the ocean.
颜色 (Colors),Slate,石板色,The roof of the house was made of slate tiles.
颜色 (Colors),Violet,紫罗兰色,The field was covered in violet wildflowers.
颜色 (Colors),Coral,珊瑚色,She painted her nails a bright coral color.
颜色 (Colors),Khaki,卡其色,His pants were a faded khaki color.
颜色 (Colors),Navy,海军蓝,The sailor wore a navy blue uniform.
颜色 (Colors),Ruby,红宝石色,She wore a necklace with a large ruby pendant.
数字 (Numbers),one,一,One plus one equals two.
数字 (Numbers),two,二,There are two apples on the table.
数字 (Numbers),three,三,There are three students in the classroom.
数字 (Numbers),four,四,There are four seasons in a year.
数字 (Numbers),five,五,My sister is five years old.
数字 (Numbers),six,六,The clock struck six.
数字 (Numbers),seven,七,There are seven days in a week.
数字 (Numbers),eight,八,The spider has eight legs.
数字 (Numbers),nine,九,There are nine planets in the solar system.
数字 (Numbers),ten,十,There are ten fingers on my hands.
数字 (Numbers),eleven,十一,My brother will turn eleven next month.
数字 (Numbers),twelve,十二,There are twelve months in a year.
数字 (Numbers),thirteen,十三,She is thirteen years old now.
数字 (Numbers),fourteen,十四,There are fourteen chairs in the room.
数字 (Numbers),fifteen,十五,There are fifteen students in the class.
数字 (Numbers),sixteen,十六,The bus arrives at sixteen minutes past the hour.
数字 (Numbers),seventeen,十七,He scored seventeen points in the game.
数字 (Numbers),eighteen,十八,She has eighteen apples in the basket.
数字 (Numbers),nineteen,十九,There are nineteen boys and girls in the class.
数字 (Numbers),twenty,二十,There are twenty students in the school.
数字 (Numbers),twenty-one,二十一,My birthday is on the twenty-first of July.
数字 (Numbers),thirty,三十,She paid thirty dollars for the dress.
数字 (Numbers),forty,四十,There are forty students in the school choir.
数字 (Numbers),fifty,五十,The hotel room costs fifty dollars per night.
数字 (Numbers),hundred,一百,There are a hundred people at the party.
数字 (Numbers),thousand,一千,There are a thousand stars in the sky.
数字 (Numbers),million,一百万,He earned a million dollars last year.
数字 (Numbers),billion,十亿,The company is worth several billion dollars.
数字 (Numbers),first,第一个,This is the first time I've been here.
数字 (Numbers),second,第二个,I am the second child in my family.
数字 (Numbers),third,第三个,He finished in third place in the race.
数字 (Numbers),last,最后一个,She was the last to leave the room.
家庭 (Family),father,父亲,My father loves to cook for the family.
家庭 (Family),mother,母亲,My mother is a teacher.
家庭 (Family),brother,兄弟,My little brother likes to play soccer.
家庭 (Family),sister,姐妹,My sister is studying in college.
家庭 (Family),grandfather,祖父,My grandfather tells the best stories.
家庭 (Family),grandmother,祖母,My grandmother bakes delicious cookies.
家庭 (Family),uncle,叔叔,My uncle is good at fixing things around the house.
家庭 (Family),aunt,阿姨,My aunt is an artist.
家庭 (Family),cousin,表兄弟姐妹,My cousins live in a different city.
家庭 (Family),nephew,侄子,My nephew is learning how to ride a bike.
家庭 (Family),niece,侄女,My niece loves to dance.
家庭 (Family),son,儿子,My son plays the piano.
家庭 (Family),daughter,女儿,My daughter is a talented singer.
家庭 (Family),husband,丈夫,My husband is a hardworking man.
家庭 (Family),wife,妻子,My wife makes the best pancakes.
家庭 (Family),parents,父母,My parents always support me.
家庭 (Family),children,孩子们,The children are playing in the garden.
家庭 (Family),family,家庭,Family comes first.
家庭 (Family),love,爱,Love is the strongest bond.
家庭 (Family),home,家,There's no place like home.
家庭 (Family),together,一起,Let's celebrate together.
家庭 (Family),hug,拥抱,I always give my family a big hug.
家庭 (Family),support,支持,My family supports me in everything I do.
家庭 (Family),care,关心,My family cares about my well-being.
家庭 (Family),bond,纽带,The bond between siblings is special.
家庭 (Family),memories,回忆,We cherish the memories we've made together.
家庭 (Family),laughter,笑声,Our family dinners are filled with laughter.
时间 (Time),minute,分钟,Please give me a minute to finish my homework.
时间 (Time),hour,小时,I have an hour before my next class starts.
时间 (Time),morning,早上,Every morning
时间 (Time),afternoon,下午,We will have a meeting in the afternoon.
时间 (Time),evening,晚上,Let's meet in the evening for dinner.
时间 (Time),night,夜晚,Don't forget to lock the doors at night.
时间 (Time),day,白天,It's a beautiful day to go for a picnic.
时间 (Time),week,周,I have a test next week.
时间 (Time),month,月,My birthday is next month.
时间 (Time),year,年,What are your plans for the new year?
时间 (Time),season,季节,My favorite season is autumn.
时间 (Time),today,今天,What are we doing today?
时间 (Time),tomorrow,明天,We'll go shopping tomorrow.
时间 (Time),yesterday,昨天,I saw you at the park yesterday.
时间 (Time),weekend,周末,Let's go camping this weekend.
时间 (Time),spring,春天,I love the flowers blooming in spring.
时间 (Time),summer,夏天,My family always goes to the beach in summer.
时间 (Time),autumn,秋天,The leaves are changing color in autumn.
时间 (Time),winter,冬天,It's so cold in winter.
时间 (Time),past,过去,In the past
时间 (Time),present,现在,Can we open the presents now?
时间 (Time),future,将来,What do you want to be in the future?
时间 (Time),history,历史,Studying history helps us understand the present.
时间 (Time),now,现在,We are eating lunch now.
时间 (Time),later,稍后,Can we talk later about this?
时间 (Time),next,下一个,Who will be the next student to present?
时间 (Time),last,最后的,This is the last piece of cake.
时间 (Time),soon,很快,I'll finish the project soon.
时间 (Time),early,早,It's never too early to start preparing.
时间 (Time),late,晚,Don't stay up too late studying.
时间 (Time),clock,时钟,Can you tell me what time it is on the clock?
时间 (Time),watch,手表,Do you have a watch to keep track of time?
时间 (Time),alarm,闹钟,Set the alarm to wake up early.
时间 (Time),schedule,日程表,Let me check my schedule for tomorrow.
时间 (Time),calendar,日历,Mark the date on the calendar.
时间 (Time),appointment,预约,I have an appointment with the dentist.
时间 (Time),deadline,截止日期,Don't forget the deadline for the project.
时间 (Time),delay,延迟,There was a bit of a delay in the train schedule.
时间 (Time),fast,快,Time flies fast when you're having fun.
时间 (Time),slow,慢,The clock is running slow today.
时间 (Time),continue,继续,Let's continue working on this project.
地点 (Places),school,学校,I go to school from Monday to Friday.
地点 (Places),library,图书馆,I like to read books in the library.
地点 (Places),park,公园,I enjoy walking in the park on weekends.
地点 (Places),restaurant,餐馆,Let's have dinner at this restaurant tonight.
地点 (Places),beach,海滩,We went swimming at the beach last summer.
地点 (Places),museum,博物馆,The museum has many interesting artifacts.
地点 (Places),hospital,医院,I visited my friend in the hospital yesterday.
地点 (Places),supermarket,超市,I need to buy some groceries at the supermarket.
地点 (Places),post office,邮局,I need to mail this letter at the post office.
地点 (Places),cinema,电影院,Let's watch a movie at the cinema this weekend.
地点 (Places),zoo,动物园,The kids love to see the animals at the zoo.
地点 (Places),gym,健身房,I go to the gym every morning to work out.
地点 (Places),train station,火车站,We need to catch the train at the station.
地点 (Places),airport,机场,Our flight departs from the airport at 3 pm.
地点 (Places),bus stop,公交车站,Wait at the bus stop for the next bus.
地点 (Places),hotel,酒店,We stayed at a nice hotel during our vacation.
地点 (Places),church,教堂,The wedding will be held at the church.
地点 (Places),bookstore,书店,I bought a new novel at the bookstore.
地点 (Places),coffee shop,咖啡店,Let's meet at the coffee shop for a chat.
地点 (Places),jungle,丛林,They explored the dense jungle on their adventure.
地点 (Places),mountain,山,We climbed the mountain and enjoyed the view.
地点 (Places),river,河,The river flows through the city.
地点 (Places),lake,湖,The lake is a popular spot for picnics.
地点 (Places),farm,农场,They grow vegetables on their family farm.
地点 (Places),office,办公室,I have a meeting at the office this afternoon.
地点 (Places),garden,花园,The flowers in the garden are in full bloom.
地点 (Places),store,商店,I need to pick up some supplies from the store.
地点 (Places),apartment,公寓,She lives in a cozy apartment in the city.
地点 (Places),playground,操场,The children are playing on the playground.
交通 (Transportation),car,汽车,My brother drives a car to work every day.
交通 (Transportation),bus,公交车,I take the bus to school in the morning.
交通 (Transportation),bike,自行车,She rides her bike to the park for exercise.
交通 (Transportation),train,火车,We are taking the train to visit our grandma.
交通 (Transportation),subway,地铁,The subway is a convenient way to travel in the city.
交通 (Transportation),taxi,出租车,We hailed a taxi to take us to the airport.
交通 (Transportation),plane,飞机,They traveled to Europe by plane last summer.
交通 (Transportation),boat,船,We went fishing on a boat last weekend.
交通 (Transportation),scooter,小型摩托车,He rides a scooter to get around town.
交通 (Transportation),motorcycle,摩托车,My uncle loves to ride his motorcycle on weekends.
交通 (Transportation),tricycle,三轮车,Children enjoy riding a tricycle in the neighborhood.
交通 (Transportation),helicopter,直升飞机,The helicopter flew over the city during the event.
交通 (Transportation),cruise ship,邮轮,They went on a cruise ship for their honeymoon.
